30000001	Tanoo	20000001	-88510792599980608	42369443966878896	-44513525346479696	0.8583240688
30000002	Lashesih	20000001	-103300968263126000	41707503568269904	-29856304129795100	0.7516891467
30000003	Akpivem	20000001	-91174141133075280	43938227486247200	-56482824383339904	0.8462923524
30000004	Jark	20000001	-93675926352178880	50604244962328896	-28403529106921700	0.8170005312
30000005	Sasta	20000001	-94782157961997600	43126247352903296	-31896707679918000	0.8143367281
30000006	Zaid	20000001	-84792151138856192	52313455798179296	-57073934529882304	0.8642291534
30000007	Yuzier	20000001	-90367509013110208	53447700930943296	-49040399037769904	0.9065555105
30000008	Nirbhi	20000001	-91576103536388480	57332802739327696	-55255057964526304	0.8821157148
30000009	Sooma	20000002	-84094731140215200	69205928804160704	-75226052138828800	0.5778194816
30000010	Chidah	20000002	-80588856520120800	61645557287376800	-79770931668461904	0.539052013
30000011	Shenela	20000002	-69575463334855200	57122325440514704	-80659835202844608	0.4569593547
30000012	Asabona	20000002	-88787078299773200	57530354513983696	-96309075103911504	0.3228842725
30000013	Onsooh	20000002	-81778742628362000	60252693661956896	-86635426626176704	0.4428166329
30000014	Shamahi	20000002	-77750709738421104	71722533435110304	-87922010890003904	0.3552422911
30000015	Sendaya	20000002	-75035885475239808	47720998612000000	-95172408294045200	0.2939329721
30000016	Nazhgete	20000002	-83631155296696896	63723785397160304	-89813789948513904	0.3914970557
30000017	Futzchag	20000003	-64098583968529504	41271973465565200	-101139230377519008	0.1722285598
30000018	Kazna	20000003	-70142424691246200	38488582153190400	-96720410106924400	0.231262625
30000019	Podion	20000003	-58709857801616304	26044509386392200	-101528995159068000	0.1097049726
30000020	Lilmad	20000003	-72855380319923904	52909926114435800	-108165273935480000	0.1604491933
30000021	Kuharah	20000788	-74379810853747808	32538969531086900	-100531188490154000	-1.0
30000022	Jayneleb	20000003	-60839427954196600	33031790950289300	-105458726104476992	0.113839957
30000023	Fovihi	20000004	-81553344112251200	50451257411607400	-51154633880983600	0.8693943492
30000024	Kiereend	20000004	-77479080911142800	51134179715466896	-47885233482498200	0.8408345483
30000025	Rashy	20000004	-74181058770878304	50998790158899696	-44291930310919904	0.8032659941
30000026	Ordize	20000004	-66874602332344000	47305539439210600	-41604451379855104	0.6955641731
30000027	Psasa	20000004	-72183885785340304	42984409865412600	-45081203993618400	0.7499132888
30000028	Eshtah	20000004	-71223584228662000	50752785941188896	-46482687207261000	0.7684326314
30000029	Lachailes	20000004	-61418700963258200	39508226756646304	-36346375132950896	0.5730512268
30000030	Kasrasi	20000004	-59932279484658000	43233411197129296	-41564724505396600	0.573075677
30000031	Mohas	20000005	-80931368391397696	26612451671200700	-26174170930793500	0.6817834382
30000032	Hasiari	20000005	-87895710227609504	39062466382135400	-26800575462533400	0.7981876171
30000033	Radima	20000005	-86669709447701792	30253891492190200	-23109218639605200	0.7539199524
30000034	Alkez	20000005	-80605644803163808	36589580336539296	-22409023277357100	0.7821229099
30000035	Nimambal	20000005	-78972929108395104	22021695733766400	-30437697744700300	0.5940505703
30000036	Yishinoon	20000005	-69082798590932000	15194641371952600	-28780877400953400	0.424718182
30000037	Uplingur	20000005	-66223420001743000	16326050663711200	-25730407026952500	0.4220693149
30000038	Dooz	20000006	-62127277592377600	48759951230412000	-77061875158752096	0.4237288552
30000039	Bayuka	20000006	-59779356765873904	39123118951290304	-73224273778575504	0.4007220365
30000040	Uzistoon	20000006	-57893084293713400	45833021879997800	-74838023569004400	0.3906456008
30000041	Bairshir	20000006	-59500536638628800	30602000215019500	-70450499247601504	0.364087747
30000042	Moh	20000006	-62674059167873800	33768290206315200	-64245757325714800	0.4728350039
30000043	Sari	20000006	-62779423667720400	52039434306573600	-81846145892347600	0.3793431217
30000044	Faspera	20000007	-87275787061837696	24422502349262500	-107306739389600992	0.1282584758
30000045	Jaymass	20000007	-82887953753333104	32277060913727700	-99630396320491904	0.2163113398
30000046	Mifrata	20000007	-78639929616778000	42640460112816600	-94549571824356304	0.3038029901
30000047	Majamar	20000007	-73381467136228096	33974076985768500	-84124835282852192	0.3691862577
30000048	Ihal	20000007	-84811359818445408	47168756430761600	-84060080477225600	0.4927012447
30000049	Camal	20000007	-89393067632056192	40323443484050304	-103505841227187008	0.2129768849
30000050	Fera	20000007	-74299224152638896	39382745820237104	-78999332766387200	0.4772463535
30000051	Juddi	20000008	-81696029803755200	43312474926582800	-71958178282436304	0.6491366386
30000052	Maspah	20000008	-84298169522780304	40933231824812000	-57665504477869504	0.7999009765
30000053	Ibaria	20000008	-85000827583159296	43133101361465104	-66861168763407400	0.7309787225
30000054	Shala	20000008	-85039605426929600	33253850385570600	-57833924355980600	0.7155637584
30000055	Zemalu	20000008	-78353005942623296	37708303599870304	-58441885318365000	0.7251585253
30000056	Khankenirdia	20000008	-76447984592627104	42323396070787200	-71495345478719400	0.6135958354
30000057	Nikh	20000009	-85714432605002096	66485180580943200	-61024775895002304	0.7741984605
30000058	Amphar	20000009	-81506260408812096	71942058569451904	-60077264184929200	0.702186995
30000059	Salashayama	20000009	-78462144495839696	75721744939315600	-53501874200793504	0.6655862314
30000060	Janus	20000009	-67019723134447696	75145506477540304	-56751705435097904	0.5455705453
30000061	Agha	20000009	-85529128805122800	68585914092815000	-64690720392612600	0.7187826208
30000062	Iosantin	20000009	-60426349382586600	75280217078275296	-59383802160235904	0.4503433501
30000063	Orva	20000009	-58831333756248496	65071791530294200	-58535541425382304	0.5099495888
30000064	Zet	20000009	-61899112908873600	63390250691681104	-57778987238062200	0.5696976612
30000065	Akhrad	20000009	-55467810092119800	75041947502068000	-65667847016388000	0.3584765248
30000066	Pirohdim	20000009	-66053705321788096	60016694152712496	-60830334913800000	0.62869609
30000067	Sharir	20000009	-60941548092406896	77995677851633696	-65672158117746600	0.396848687
30000068	Usroh	20000009	-83511864320234096	78631957879831904	-63739762008452600	0.5974575081
30000069	Thiarer	20000009	-60038254601218400	56960319635112800	-61574404562871800	0.5420327808
30000070	Gomati	20000010	-102466093278155008	61739122987126600	-92805341321059904	0.3874213238
30000071	Jangar	20000010	-103711104103328992	71636002389670496	-81696206367769200	0.5273286254
30000072	Nakah	20000010	-115776531141552000	81776967342702304	-98226669274008704	0.3638643384
30000073	Irshah	20000010	-95323443986144400	60897202373633296	-89454401512341104	0.429506645
30000074	Hasateem	20000010	-109124883950156000	68647473524096800	-91822983992110480	0.426496412
30000075	Assah	20000010	-115655018403000000	74112145986600000	-103188394071000000	0.2978021987
30000076	Tidacha	20000011	-96666131425390880	65065656728686000	-56208771481079200	0.8200990448
30000077	Odlib	20000011	-100580464528326000	61711747519974400	-55983784947667696	0.8245166009
30000078	Jofan	20000011	-107343994369715008	60153248576634800	-55559557102143296	0.7795482038
30000079	Milu	20000011	-96066093767465792	68304706530540304	-60042819513443600	0.7696253176
30000080	Yadi	20000011	-107977718946196000	61286366636039904	-60141607008473504	0.7502684757
30000081	Buftiar	20000011	-112289887271664000	65924024970737400	-57819372548905600	0.7087412966
30000082	Jarizza	20000012	-99552082879404992	48386295721765904	-65266532013842400	0.7654309803
30000083	Ejahi	20000012	-106306688887847008	59731533376764896	-65513066698408896	0.7289102352
30000084	Asghatil	20000012	-95555831489462880	43353413865686400	-61405745587947696	0.794778168
30000085	Bar	20000012	-98443107172810704	54154223688939600	-74272136309516704	0.6658381295
30000086	Sucha	20000012	-106276091837530000	52625499381688000	-72085421990848496	0.6582647871
30000087	Gelhan	20000012	-101293245585079008	62616846009737904	-69804856608659104	0.7016764276
